department,job,Q1,Q2,Q3,Q4
Accounting,Actuary,0,1,0,0
Accounting,Budget/Accounting Analyst III,0,1,0,0
Accounting,Desktop Support Technician,0,0,1,0
Accounting,Food Chemist,1,0,0,0
Accounting,Graphic Designer,0,1,0,0
Accounting,Junior Executive,0,0,1,0
Accounting,Media Manager III,0,1,0,0
Accounting,Programmer Analyst IV,0,0,0,1
Accounting,Programmer III,0,0,1,0
Accounting,Senior Cost Accountant,0,0,0,1
Accounting,Senior Developer,0,0,0,1
Accounting,Statistician I,0,0,0,1
Accounting,Statistician II,0,0,0,2
Accounting,VP Accounting,0,0,1,0
Accounting,Web Designer I,0,0,0,1
Accounting,Web Designer III,0,0,0,1
Accounting,Web Developer I,0,1,0,0
Accounting,Web Developer III,0,0,0,1
Business Development,Account Executive,0,2,0,0
Business Development,Account Representative III,0,1,0,0
Business Development,Accountant IV,0,1,0,0
Business Development,Accounting Assistant I,0,0,1,0
Business Development,Actuary,0,0,1,0
Business Development,Administrative Assistant I,1,0,0,0
Business Development,Administrative Assistant III,1,0,0,0
Business Development,Administrative Officer,0,1,0,0
Business Development,Analog Circuit Design manager,1,0,0,0
Business Development,Associate Professor,0,0,1,0
Business Development,Automation Specialist I,0,0,0,1
Business Development,Automation Specialist IV,0,1,0,0
Business Development,Budget/Accounting Analyst I,1,0,0,0
Business Development,Budget/Accounting Analyst IV,0,0,0,1
Business Development,Civil Engineer,0,0,0,1
Business Development,Clinical Specialist,0,0,0,2
Business Development,Database Administrator II,0,1,0,0
Business Development,Dental Hygienist,0,0,1,0
Business Development,Developer II,0,0,1,0
Business Development,Director of Sales,0,0,1,0
Business Development,Environmental Tech,0,1,0,0
Business Development,Executive Secretary,0,0,1,0
Business Development,Food Chemist,0,0,0,1
Business Development,General Manager,0,1,1,0
Business Development,Geologist II,0,1,1,1
Business Development,Geologist IV,1,0,0,1
Business Development,Health Coach IV,1,1,0,2
Business Development,Human Resources Assistant IV,0,0,1,1
Business Development,Junior Executive,1,0,2,2
Business Development,Legal Assistant,0,0,1,0
Business Development,Marketing Manager,0,1,0,0
Business Development,Mechanical Systems Engineer,0,0,1,0
Business Development,Media Manager III,0,0,0,1
Business Development,Office Assistant IV,0,0,1,0
Business Development,Pharmacist,1,0,0,0
Business Development,Programmer III,0,1,1,0
Business Development,Programmer IV,0,0,0,1
Business Development,Quality Control Specialist,1,0,0,2
Business Development,Quality Engineer,0,0,0,1
Business Development,Research Assistant II,0,0,0,1
Business Development,Research Assistant IV,0,1,0,0
Business Development,Research Nurse,0,0,0,2
Business Development,Sales Representative,0,1,0,0
Business Development,Senior Cost Accountant,1,0,1,0
Business Development,Senior Editor,1,0,0,0
Business Development,Senior Financial Analyst,0,0,0,1
Business Development,Senior Sales Associate,1,0,0,0
Business Development,Software Test Engineer IV,0,0,1,0
Business Development,Staff Accountant I,0,1,0,0
Business Development,Staff Accountant III,0,1,0,0
Business Development,Statistician III,0,0,1,0
Business Development,Structural Analysis Engineer,0,1,0,1
Business Development,Structural Engineer,0,1,0,0
Business Development,Systems Administrator IV,0,1,1,1
Business Development,Teacher,0,1,1,0
Business Development,Technical Writer,0,1,0,0
Business Development,VP Accounting,0,0,0,1
Business Development,Web Designer I,0,0,0,1
Business Development,Web Designer II,0,0,1,0
Business Development,Web Designer IV,0,0,1,0
Business Development,Web Developer I,1,0,0,0
Engineering,Account Coordinator,0,0,1,0
Engineering,Account Executive,0,0,0,1
Engineering,Account Representative IV,0,0,0,1
Engineering,Accountant I,1,0,1,0
Engineering,Accounting Assistant IV,0,0,1,1
Engineering,Actuary,1,0,0,1
Engineering,Analyst Programmer,0,0,0,1
Engineering,Assistant Manager,1,0,1,0
Engineering,Associate Professor,0,0,2,0
Engineering,Budget/Accounting Analyst I,0,0,0,2
Engineering,Budget/Accounting Analyst II,0,1,1,0
Engineering,Budget/Accounting Analyst III,0,1,0,0
Engineering,Budget/Accounting Analyst IV,0,0,0,1
Engineering,Civil Engineer,1,0,1,0
Engineering,Clinical Specialist,0,1,1,1
Engineering,Community Outreach Specialist,0,1,0,0
Engineering,Database Administrator I,0,0,1,0
Engineering,Database Administrator II,0,0,0,1
Engineering,Engineer IV,0,0,1,0
Engineering,Environmental Tech,0,0,1,0
Engineering,Executive Secretary,1,0,0,0
Engineering,Financial Analyst,0,0,1,0
Engineering,Food Chemist,0,2,1,0
Engineering,General Manager,0,0,0,2
Engineering,Geological Engineer,1,1,0,0
Engineering,Geologist I,0,0,1,0
Engineering,Geologist II,0,1,0,0
Engineering,Graphic Designer,1,0,0,0
Engineering,Health Coach III,0,0,0,1
Engineering,Health Coach IV,0,1,0,3
Engineering,Help Desk Technician,0,0,1,0
Engineering,Internal Auditor,0,0,0,1
Engineering,Junior Executive,0,0,1,1
Engineering,Mechanical Systems Engineer,0,0,1,0
Engineering,Nuclear Power Engineer,0,0,0,1
Engineering,Nurse,1,1,0,0
Engineering,Occupational Therapist,0,0,0,1
Engineering,Office Assistant II,2,0,0,0
Engineering,Pharmacist,0,0,0,1
Engineering,Physical Therapy Assistant,1,0,0,1
Engineering,Product Engineer,1,0,0,0
Engineering,Programmer I,0,0,1,0
Engineering,Programmer III,1,0,0,0
Engineering,Programmer IV,0,1,1,0
Engineering,Project Manager,0,1,1,0
Engineering,Quality Control Specialist,0,0,0,1
Engineering,Quality Engineer,0,1,2,0
Engineering,Recruiter,0,0,0,1
Engineering,Research Nurse,0,0,0,1
Engineering,Sales Associate,0,0,1,1
Engineering,Sales Representative,0,0,0,1
Engineering,Senior Cost Accountant,0,1,0,1
Engineering,Senior Editor,0,1,0,1
